# Blend-weight search on TUNE folds [2006, 2010] under the corrected
# frozen-state protocol (remediation Phase 3). Selection metric:
# pooled log-loss. Tune-fold metrics are selection machinery, NOT
# quotable performance numbers (the 2014/2018/2022 benchmark is the
# untouched Phase 4 holdout).
# date=2026-07-13  code_sha=018c6c3b7d1b80a0ac17a661b71d5b808f0e2ca3
# canonical_features_sha256=cdbfc5a6bcc83a6b71f57db1fcf674ec4acad1d5e0e9e1c9ca44b029bc56136d
# HFA_ELO=125.58  ELO_DRAW_RATE=0.227
# argmin_w=1.0  ll_argmin=0.907081
# ll_at_0.75=0.911846
# bootstrap(10000, seed 12345): se_ll_argmin=0.042458  se_ll_diff_075_vs_argmin=0.004781
w,ll_2006,acc_2006,brier_2006,ll_2010,acc_2010,brier_2010,ll_pooled,acc_pooled,brier_pooled
0.550000,0.881529,0.671875,0.512746,0.953781,0.515625,0.563212,0.917655,0.593750,0.537979
0.560000,0.880856,0.671875,0.512310,0.953791,0.515625,0.563259,0.917323,0.593750,0.537785
0.570000,0.880186,0.671875,0.511878,0.953806,0.515625,0.563309,0.916996,0.593750,0.537594
0.580000,0.879521,0.671875,0.511450,0.953826,0.515625,0.563362,0.916673,0.593750,0.537406
0.590000,0.878860,0.671875,0.511024,0.953850,0.515625,0.563418,0.916355,0.593750,0.537221
0.600000,0.878202,0.671875,0.510602,0.953879,0.515625,0.563478,0.916040,0.593750,0.537040
0.610000,0.877549,0.671875,0.510183,0.953912,0.515625,0.563540,0.915730,0.593750,0.536862
0.620000,0.876900,0.671875,0.509767,0.953950,0.515625,0.563606,0.915425,0.593750,0.536687
0.630000,0.876255,0.671875,0.509355,0.953992,0.515625,0.563675,0.915123,0.593750,0.536515
0.640000,0.875613,0.671875,0.508945,0.954039,0.515625,0.563747,0.914826,0.593750,0.536346
0.650000,0.874976,0.671875,0.508539,0.954091,0.515625,0.563822,0.914534,0.593750,0.536181
0.660000,0.874343,0.671875,0.508136,0.954148,0.515625,0.563901,0.914245,0.593750,0.536019
0.670000,0.873713,0.671875,0.507737,0.954209,0.515625,0.563982,0.913961,0.593750,0.535860
0.680000,0.873088,0.671875,0.507341,0.954275,0.515625,0.564067,0.913682,0.593750,0.535704
0.690000,0.872467,0.671875,0.506947,0.954346,0.515625,0.564155,0.913406,0.593750,0.535551
0.700000,0.871849,0.671875,0.506558,0.954422,0.515625,0.564245,0.913135,0.593750,0.535402
0.710000,0.871236,0.671875,0.506171,0.954502,0.515625,0.564340,0.912869,0.593750,0.535255
0.720000,0.870626,0.671875,0.505788,0.954587,0.515625,0.564437,0.912607,0.593750,0.535112
0.730000,0.870020,0.671875,0.505408,0.954677,0.515625,0.564537,0.912349,0.593750,0.534972
0.740000,0.869419,0.671875,0.505031,0.954772,0.515625,0.564641,0.912095,0.593750,0.534836
0.750000,0.868821,0.671875,0.504657,0.954871,0.515625,0.564747,0.911846,0.593750,0.534702
0.760000,0.868227,0.671875,0.504287,0.954976,0.515625,0.564857,0.911601,0.593750,0.534572
0.770000,0.867637,0.671875,0.503920,0.955085,0.515625,0.564970,0.911361,0.593750,0.534445
0.780000,0.867051,0.671875,0.503556,0.955200,0.531250,0.565086,0.911125,0.601562,0.534321
0.790000,0.866469,0.671875,0.503195,0.955319,0.531250,0.565205,0.910894,0.601562,0.534200
0.800000,0.865890,0.671875,0.502838,0.955444,0.531250,0.565328,0.910667,0.601562,0.534083
0.810000,0.865316,0.671875,0.502484,0.955573,0.531250,0.565453,0.910445,0.601562,0.533968
0.820000,0.864745,0.671875,0.502133,0.955708,0.531250,0.565582,0.910227,0.601562,0.533857
0.830000,0.864178,0.671875,0.501785,0.955847,0.531250,0.565713,0.910013,0.601562,0.533749
0.840000,0.863616,0.671875,0.501440,0.955992,0.531250,0.565848,0.909804,0.601562,0.533644
0.850000,0.863057,0.671875,0.501099,0.956142,0.531250,0.565986,0.909599,0.601562,0.533543
0.860000,0.862501,0.671875,0.500761,0.956297,0.531250,0.566128,0.909399,0.601562,0.533444
0.870000,0.861950,0.671875,0.500427,0.956457,0.531250,0.566272,0.909204,0.601562,0.533349
0.880000,0.861403,0.671875,0.500095,0.956623,0.531250,0.566419,0.909013,0.601562,0.533257
0.890000,0.860859,0.671875,0.499767,0.956794,0.531250,0.566570,0.908826,0.601562,0.533169
0.900000,0.860319,0.671875,0.499442,0.956970,0.531250,0.566724,0.908644,0.601562,0.533083
0.910000,0.859783,0.671875,0.499120,0.957151,0.531250,0.566881,0.908467,0.601562,0.533001
0.920000,0.859251,0.671875,0.498802,0.957338,0.531250,0.567041,0.908295,0.601562,0.532921
0.930000,0.858723,0.671875,0.498486,0.957530,0.531250,0.567204,0.908126,0.601562,0.532845
0.940000,0.858199,0.671875,0.498174,0.957728,0.531250,0.567371,0.907963,0.601562,0.532772
0.950000,0.857678,0.671875,0.497866,0.957931,0.531250,0.567540,0.907804,0.601562,0.532703
0.960000,0.857161,0.671875,0.497560,0.958139,0.531250,0.567713,0.907650,0.601562,0.532636
0.970000,0.856648,0.671875,0.497258,0.958353,0.531250,0.567888,0.907501,0.601562,0.532573
0.980000,0.856139,0.671875,0.496959,0.958573,0.531250,0.568067,0.907356,0.601562,0.532513
0.990000,0.855634,0.656250,0.496663,0.958798,0.531250,0.568249,0.907216,0.593750,0.532456
1.000000,0.855132,0.656250,0.496370,0.959030,0.531250,0.568435,0.907081,0.593750,0.532403
